,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2024,MI,FT,Data Scientist,187200,USD,187200,CA,0,CA,M
1,2024,MI,FT,Data Scientist,100800,USD,100800,CA,0,CA,M
2,2024,SE,FT,Data Engineer,153200,USD,153200,US,100,US,M
3,2024,SE,FT,Data Engineer,102200,USD,102200,US,100,US,M
4,2024,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
5,2024,MI,FT,Data Analyst,77000,USD,77000,US,0,US,M
6,2024,SE,FT,Data Engineer,207300,USD,207300,US,0,US,M
7,2024,SE,FT,Data Engineer,119000,USD,119000,US,0,US,M
8,2024,MI,FT,Machine Learning Engineer,160000,USD,160000,US,100,US,M
9,2024,MI,FT,Machine Learning Engineer,130000,USD,130000,US,100,US,M
10,2024,SE,FT,Machine Learning Engineer,155000,USD,155000,US,0,US,M
11,2024,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
12,2024,EX,FT,Machine Learning Engineer,265000,USD,265000,US,0,US,M
13,2024,EX,FT,Machine Learning Engineer,203800,USD,203800,US,0,US,M
14,2024,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
15,2024,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
16,2024,SE,FT,Data Engineer,198000,USD,198000,US,0,US,M
17,2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
18,2024,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
19,2024,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
20,2024,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
21,2024,SE,FT,Data Scientist,139500,USD,139500,US,0,US,M
22,2024,SE,FT,Data Scientist,191500,USD,191500,US,0,US,M
23,2024,SE,FT,Data Scientist,111500,USD,111500,US,0,US,M
24,2024,SE,FT,Data Scientist,204800,USD,204800,US,0,US,M
25,2024,SE,FT,Data Scientist,115800,USD,115800,US,0,US,M
26,2024,SE,FT,Data Scientist,206000,USD,206000,US,100,US,M
27,2024,SE,FT,Data Scientist,140250,USD,140250,US,100,US,M
28,2024,MI,FT,Data Scientist,190000,USD,190000,US,100,US,M
29,2024,MI,FT,Data Scientist,175000,USD,175000,US,100,US,M
30,2024,EN,FT,Data Analyst,84105,USD,84105,US,0,US,M
31,2024,EN,FT,Data Analyst,76095,USD,76095,US,0,US,M
32,2024,SE,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M
33,2024,SE,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M
34,2024,SE,FT,Data Engineer,140000,USD,140000,US,100,US,M
35,2024,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
36,2024,MI,FT,Data Engineer,165000,USD,165000,US,100,US,M
37,2024,MI,FT,Data Engineer,140250,USD,140250,US,100,US,M
38,2024,MI,FT,Data Scientist,110000,USD,110000,US,100,US,M
39,2024,MI,FT,Data Scientist,90000,USD,90000,US,100,US,M
40,2024,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
41,2024,SE,FT,Data Scientist,104603,USD,104603,US,0,US,M
42,2024,SE,FT,Data Scientist,279000,USD,279000,US,100,US,M
43,2024,SE,FT,Data Scientist,183000,USD,183000,US,100,US,M
44,2024,MI,FT,Data Scientist,252000,USD,252000,US,0,US,M
45,2024,MI,FT,Data Scientist,168000,USD,168000,US,0,US,M
46,2024,SE,FT,Data Analyst,96600,USD,96600,US,0,US,M
47,2024,SE,FT,Data Analyst,55200,USD,55200,US,0,US,M
48,2024,EN,FT,Data Analyst,73756,USD,73756,US,0,US,M
49,2024,EN,FT,Data Analyst,61463,USD,61463,US,0,US,M
50,2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
51,2024,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
52,2024,MI,FT,Data Engineer,167500,USD,167500,US,0,US,M
53,2024,MI,FT,Data Engineer,106500,USD,106500,US,0,US,M
54,2024,EN,FT,Data Analyst,40100,EUR,44555,LT,0,LT,M
55,2024,EN,FT,Data Analyst,28069,EUR,31187,LT,0,LT,M
56,2024,SE,FT,Data Engineer,220000,USD,220000,US,0,US,M
57,2024,SE,FT,Data Engineer,137500,USD,137500,US,0,US,M
58,2024,MI,FT,Data Scientist,127660,USD,127660,US,0,US,M
59,2024,MI,FT,Data Scientist,68740,USD,68740,US,0,US,M
60,2024,SE,FT,Machine Learning Engineer,137930,USD,137930,CA,0,CA,M
61,2024,SE,FT,Machine Learning Engineer,74270,USD,74270,CA,0,CA,M
62,2024,SE,FT,Data Engineer,180500,USD,180500,US,0,US,M
63,2024,SE,FT,Data Engineer,96200,USD,96200,US,0,US,M
64,2024,SE,FT,Data Engineer,266875,USD,266875,US,0,US,M
65,2024,SE,FT,Data Engineer,128250,USD,128250,US,0,US,M
66,2024,MI,FT,Data Scientist,212000,USD,212000,US,0,US,M
67,2024,MI,FT,Data Scientist,93300,USD,93300,US,0,US,M
68,2024,EN,FT,Data Analyst,80080,USD,80080,US,0,US,M
69,2024,EN,FT,Data Analyst,65400,USD,65400,US,0,US,M
70,2024,SE,FT,Machine Learning Engineer,210000,USD,210000,US,0,US,M
71,2024,SE,FT,Machine Learning Engineer,178500,USD,178500,US,0,US,M
72,2024,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M
73,2024,SE,FT,Data Scientist,115500,USD,115500,US,0,US,M
74,2024,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
75,2024,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
76,2024,SE,FT,Machine Learning Engineer,180000,USD,180000,US,0,US,M
77,2024,SE,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M
78,2024,SE,FT,Data Analyst,96600,USD,96600,US,0,US,M
79,2024,SE,FT,Data Analyst,55200,USD,55200,US,0,US,M
80,2024,EN,FT,Data Analyst,85500,USD,85500,US,100,US,M
81,2024,EN,FT,Data Analyst,51000,USD,51000,US,100,US,M
82,2024,SE,FT,Data Engineer,205000,USD,205000,US,0,US,M
83,2024,SE,FT,Data Engineer,175000,USD,175000,US,0,US,M
84,2024,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
85,2024,SE,FT,Data Scientist,109400,USD,109400,US,0,US,M
86,2024,MI,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
87,2024,MI,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M
88,2024,SE,FT,Data Engineer,277000,USD,277000,US,0,US,M
89,2024,SE,FT,Data Engineer,173000,USD,173000,US,0,US,M
90,2024,MI,FT,Data Engineer,70000,EUR,77777,AT,0,AT,M
91,2024,MI,FT,Data Engineer,53000,EUR,58888,AT,0,AT,M
92,2024,MI,FT,Data Engineer,200000,USD,200000,US,100,US,M
93,2024,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
94,2024,SE,FT,Data Analyst,193000,USD,193000,US,100,US,M
95,2024,SE,FT,Data Analyst,156000,USD,156000,US,100,US,M
96,2024,SE,FT,Data Analyst,86026,EUR,95584,DE,100,DE,M
97,2024,SE,FT,Data Analyst,71688,EUR,79653,DE,100,DE,M
